ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_next_month,late_payment_count,risk_tier,age_band,credit_limit_bucket,utilisation_rate,utilisation_trend_slope,payment_consistency_score,months_since_last_late,payment_to_bill_ratio,is_outlier
1,20000,2,2,1,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,0,0,1,2,risk_tier_medium,cohort_age_20_29,limit_below_50K,0.0642,0.042229,0.6666666666666666,0,0.08943406022845275,False
2,120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,1,2,risk_tier_medium,cohort_age_20_29,limit_100K_200K,0.023718055555555555,-0.002065,0.6666666666666666,1,0.29279147391227967,False
3,90000,2,2,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0,0,risk_tier_low,cohort_age_30_39,limit_50K_100K,0.1882462962962963,0.020608,1.0,6,0.10838834072776997,False
4,50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0,0,risk_tier_low,cohort_age_30_39,limit_50K_100K,0.7711133333333333,0.094865,1.0,6,0.03625926150068732,False
5,50000,1,2,1,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0,0,risk_tier_low,cohort_age_50_59,limit_50K_100K,0.36446333333333336,-0.04463,1.0,6,0.5400543264525924,False
6,50000,1,1,2,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0,0,risk_tier_low,cohort_age_30_39,limit_50K_100K,0.7937133333333333,0.212825,1.0,6,0.032639827981555056,False
7,500000,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,0,0,risk_tier_low,cohort_age_20_29,limit_200K_500K,0.9081983333333333,-0.048027,1.0,6,0.06634343819907179,False
8,100000,2,2,2,23,0,-1,-1,0,0,-1,11876,380,601,221,-159,567,380,601,0,581,1687,1542,0,0,risk_tier_low,cohort_age_20_29,limit_50K_100K,0.022476666666666666,0.016726,1.0,6,0.3552573038706807,False
9,140000,2,3,1,28,0,0,2,0,0,0,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,0,1,risk_tier_medium,cohort_age_20_29,limit_100K_200K,0.07763333333333333,0.009109,0.8333333333333334,2,0.10367723731828497,False
10,20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,0,0,risk_tier_low,cohort_age_30_39,limit_below_50K,0.224325,-0.155116,1.0,6,0.5248709090233664,False
11,200000,2,3,2,34,0,0,2,0,0,-1,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,0,1,risk_tier_medium,cohort_age_30_39,limit_100K_200K,0.0287225,0.009087,0.8333333333333334,2,0.187773812632373,False
12,260000,2,1,2,51,-1,-1,-1,-1,-1,2,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,0,1,risk_tier_medium,cohort_age_50_59,limit_200K_500K,0.05664679487179487,-0.000817,0.8333333333333334,5,0.7503536307981306,False
13,630000,2,2,2,41,-1,0,-1,-1,-1,-1,12137,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,0,0,0,risk_tier_low,cohort_age_40_49,limit_above_500K,0.0108484126984127,0.002101,1.0,6,0.5699026995391031,True
14,70000,1,2,2,30,1,2,2,0,0,2,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,1,4,risk_tier_high,cohort_age_30_39,limit_50K_100K,0.8063928571428571,0.096798,0.3333333333333333,0,0.03159277795001255,False
15,250000,1,1,2,29,0,0,0,0,0,0,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,0,0,risk_tier_low,cohort_age_20_29,limit_200K_500K,0.24906066666666665,0.012719,1.0,6,0.04818103219831313,False
16,50000,2,3,3,23,1,2,0,0,0,0,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,0,2,risk_tier_medium,cohort_age_20_29,limit_50K_100K,0.65472,0.057306,0.6666666666666666,0,0.03156565656565657,False
17,20000,1,1,2,24,0,0,2,2,2,2,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,1,4,risk_tier_high,cohort_age_20_29,limit_below_50K,0.884675,-0.027479,0.3333333333333333,2,0.059814809581673116,False
18,320000,1,1,1,49,0,0,0,-1,-1,-1,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,0,0,risk_tier_low,cohort_age_40_49,limit_200K_500K,0.5031322916666667,0.101345,1.0,6,0.37462914616144277,False
19,360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,risk_tier_medium,cohort_age_40_49,limit_200K_500K,0.0,0.0,0.8333333333333334,0,1.0,False
20,180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,risk_tier_medium,cohort_age_20_29,limit_100K_200K,0.0,0.0,0.8333333333333334,0,1.0,False
21,130000,2,3,2,39,0,0,0,0,0,-1,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,0,0,risk_tier_low,cohort_age_30_39,limit_100K_200K,0.15882435897435898,0.052455,1.0,6,0.34089423084684745,False
22,120000,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,1,0,risk_tier_low,cohort_age_30_39,limit_100K_200K,0.0026333333333333334,-0.00015,1.0,6,0.8333333333333334,False
23,70000,2,2,2,26,2,0,0,2,2,2,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,1,4,risk_tier_high,cohort_age_20_29,limit_50K_100K,0.6320833333333333,-0.015098,0.3333333333333333,0,0.04147283171673415,False
24,450000,2,1,1,40,-2,-2,-2,-2,-2,-2,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,1,0,risk_tier_low,cohort_age_40_49,limit_200K_500K,0.009987037037037037,0.005507,1.0,6,0.8377155572037827,False
25,90000,1,1,2,23,0,0,0,-1,0,0,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,0,0,risk_tier_low,cohort_age_20_29,limit_50K_100K,0.05900740740740741,-0.006669,1.0,6,0.5146874215415516,False
26,50000,1,3,2,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,0,0,risk_tier_low,cohort_age_20_29,limit_50K_100K,0.7143166666666667,0.074782,1.0,6,0.036823071000256655,False
27,60000,1,1,2,27,1,-2,-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,1,1,risk_tier_medium,cohort_age_20_29,limit_50K_100K,0.0,-0.000448,0.8333333333333334,0,1.0,False
28,50000,2,3,2,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,0,0,risk_tier_low,cohort_age_30_39,limit_50K_100K,0.37422666666666665,0.003158,1.0,6,0.06334841628959276,False
29,50000,2,3,1,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,0,0,risk_tier_low,cohort_age_40_49,limit_50K_100K,0.13402666666666666,-0.044402,1.0,6,0.9840578989255869,False
30,50000,1,1,2,26,0,0,0,0,0,0,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,0,0,risk_tier_low,cohort_age_20_29,limit_50K_100K,0.32360666666666665,0.007905,1.0,6,0.06798376630065306,False
31,230000,2,1,2,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,0,0,risk_tier_low,cohort_age_20_29,limit_200K_500K,0.08242463768115943,-0.01175,1.0,6,0.8570762927927136,False
32,50000,1,2,2,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,1,1,risk_tier_medium,cohort_age_30_39,limit_50K_100K,0.50623,0.030149,0.8333333333333334,0,0.04565777084197565,False
33,100000,1,1,2,32,0,0,0,0,0,0,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,0,0,risk_tier_low,cohort_age_30_39,limit_50K_100K,0.825395,0.030075,1.0,6,0.037848545241975055,False
34,500000,2,2,1,54,-2,-2,-2,-2,-2,-2,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,0,0,risk_tier_low,cohort_age_50_59,limit_200K_500K,0.04191466666666666,-0.01011,1.0,6,1.2605134240997582,False
35,500000,1,1,1,58,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,0,0,risk_tier_low,cohort_age_50_59,limit_200K_500K,0.019439333333333333,0.00486,1.0,6,0.7789190301450667,False
36,160000,1,1,2,30,-1,-1,-2,-2,-2,-1,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,0,0,0,risk_tier_low,cohort_age_30_39,limit_100K_200K,0.02636666666666667,0.029502,1.0,6,0.09007585335018964,False
37,280000,1,2,1,40,0,0,0,0,0,0,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,0,0,risk_tier_low,cohort_age_40_49,limit_200K_500K,0.6368910714285714,0.007933,1.0,6,0.03918121604483087,False
38,60000,2,2,2,22,0,0,0,0,0,-1,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,0,0,risk_tier_low,cohort_age_20_29,limit_50K_100K,0.08966388888888889,0.048302,1.0,6,1.6527463676074228,False
39,50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,1,1,risk_tier_medium,cohort_age_20_29,limit_50K_100K,0.0026,0.001337,0.8333333333333334,0,1.0,False
40,280000,1,1,2,31,-1,-1,2,-1,0,-1,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,0,1,risk_tier_medium,cohort_age_30_39,limit_200K_500K,0.03073988095238095,-0.00785,0.8333333333333334,2,0.7233700598338594,False
41,360000,1,1,2,33,0,0,0,0,0,0,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,0,0,risk_tier_low,cohort_age_30_39,limit_200K_500K,0.7642365740740741,-0.011794,1.0,6,0.1477145856643431,False
42,70000,2,1,2,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,0,0,risk_tier_low,cohort_age_20_29,limit_50K_100K,0.9353714285714285,0.00606,1.0,6,0.049234325045309224,False
43,10000,1,2,2,22,0,0,0,0,0,0,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,0,0,risk_tier_low,cohort_age_20_29,limit_below_50K,0.37935,-0.034003,1.0,6,0.31751680506128904,False
44,140000,2,2,1,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,0,0,risk_tier_low,cohort_age_30_39,limit_100K_200K,0.45849285714285715,-0.014173,1.0,6,0.05192997761817965,False
45,40000,2,1,2,30,0,0,0,2,0,0,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,0,1,risk_tier_medium,cohort_age_30_39,limit_below_50K,0.6132708333333333,-0.047615,0.8333333333333334,3,0.08832421782110948,False
46,210000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,risk_tier_low,cohort_age_20_29,limit_200K_500K,0.0,0.0,1.0,6,1.0,False
47,20000,2,1,2,22,0,0,2,-1,0,0,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,1,1,risk_tier_medium,cohort_age_20_29,limit_below_50K,0.6610666666666667,0.098609,0.8333333333333334,2,0.25306323114158935,False
48,150000,2,5,2,46,0,0,-1,0,0,-2,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,1,0,risk_tier_low,cohort_age_40_49,limit_100K_200K,0.01093,0.005984,1.0,6,0.22191725119446987,False
49,380000,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0,0,risk_tier_low,cohort_age_30_39,limit_200K_500K,0.05035745614035087,0.004874,1.0,6,0.8128903017898358,False
50,20000,1,1,2,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,0,0,risk_tier_low,cohort_age_20_29,limit_below_50K,0.9650833333333334,-0.027817,1.0,6,0.05393316639323029,False
51,70000,1,3,2,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,1,5,risk_tier_high,cohort_age_40_49,limit_50K_100K,0.5452666666666667,-0.008217,0.16666666666666666,0,0.03536932562485809,False
